,Template,edit_site,change_H,change_C,change_S,Frequency
26525,[O:3].[O:4].[O:2].[O:1]=[C:5]-[N:6]>>O-[O:1].C-C(-C)(-C)-[O:2].C-C(-C)(-[O:3])-[O:4].[C:5]#[N:6]_1-1-1-10-2_000000_000000,"{'A': [3, 2, 4], 'B': [(1, 5)], 'C': [], 'R': []}","{3: -1, 2: -1, 4: -1, 5: 0, 6: -2, 1: 1}","{3: 0, 2: 0, 4: 0, 5: 0, 6: 0, 1: 0}","{3: 0, 2: 0, 4: 0, 5: 0, 6: 0, 1: 0}",1
26526,[C:1]-[O:2]>>F-[C:1].C-[Si](-C)(-C)-[O:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
26527,[C:1]-[S:4]\[C:3]=[N:2]>>O-[C:1].[N:2]-[C:3]=[S:4]_0100_0000_2000,"{'A': [], 'B': [(1, 4)], 'C': [(3, 2), (2, 3)], 'R': []}","{1: 0, 4: 0, 3: 0, 2: 1}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 2, 4: 0, 3: 0, 2: 0}",1
26528,[Br:1]-[c:3]:[n:2]>>O=C1-C-C-C(=O)-N-1-[Br:1].C-c1:c:c:c(-S(=O)(=O)-[n:2]:[c:3]):c:c:1_0-11_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 1, 1: 0}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",1
26529,[N:4].[n:1]:[c:2]:[c:3]>>[N:1].O=[C:2]-[C:3].C-O-c1:c:c:c(-C-[N:4]):c:c:1_101-1_0000_0000,"{'A': [4], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 1, 1: 1, 4: -1}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: 0, 1: 0, 4: 0}",1
26530,[O:3].[n:4].[N:1]-[C:2]>>[N:1].[C:2]-[O:3].C-O-c1:c:c:c(-C-[n:4]):c:c:1_10-1-1_0000_0000,"{'A': [3, 4], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1, 4: -1}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",1
26531,[N:1]>>C-O-c1:c:c(-C):c(-S(=O)(=O)-[N:1]):c(-C):c:1-C_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26532,[N:1]>>O=C(-N-C-C-C-C-C-C-N-C(=O)-N(-C-C-C-C-C-C-[N:1])-C(=O)-N-C-C-C-C-C-C-N-C(=O)-O-C-C1-C-O-1)-O-C-C1-C-O-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26533,[n:1]>>C-O-C-C(-C)-[n:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26534,[O:3].[O:4].[C:1]=[C:2]>>[C:1].O=[C:2].C-O-C-C-O-C-[O:3].C-O-C-C-O-C-[O:4]_20-1-1_0000_0000,"{'A': [4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{4: -1, 3: -1, 1: 2, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}","{4: 0, 3: 0, 1: 0, 2: 0}",1
26535,[O:2].[N:1]=[C:3]>>[N:1].C-C-[O:2].[C:3]#[N:4]_3-10-2_1000_0000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 3: 0, 4: -2, 1: 3}","{2: 0, 3: 0, 4: 0, 1: 1}","{2: 0, 3: 0, 4: 0, 1: 0}",1
26536,[C:1].[O:2].[O:3]>>C-[Si](-C)(-C)-[C:1].C-C(=O)-[O:2].C-C(=O)-[O:3]_-1-1-1_000_000,"{'A': [3, 2, 1], 'B': [], 'C': [], 'R': []}","{3: -1, 2: -1, 1: -1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
26537,[n:3].[n:4].[n:1]-[C:2]>>[n:1].Br-[C:2].C-[Si](-C)(-C)-C-C-O-C-[n:3].C-C(-C)(-C)-O-C(=O)-[n:4]_10-1-1_0000_0000,"{'A': [4, 3], 'B': [(1, 2)], 'C': [], 'R': []}","{4: -1, 1: 1, 2: 0, 3: -1}","{4: 0, 1: 0, 2: 0, 3: 0}","{4: 0, 1: 0, 2: 0, 3: 0}",1
26538,[N:1]>>C-C-O-C(=O)-C(=C)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26539,[O:3].[C:1]=[C:2]>>O-[C:1]-[C:2].C-c1:c:c:c(-S(=O)(=O)-[O:3]):c:c:1_01-1_000_110,"{'A': [1, 3], 'B': [], 'C': [], 'R': []}","{2: 1, 1: 0, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 1, 1: 1, 3: 0}",1
26540,[O:4]-[c:3]1:[c:2]:[c:1]:[n:7]:[n:6]:[c:5]:1>>C-O-[C:1]-[C:2]-[C:3](=[O:4])\[C:5]=[N:6]/[N:7]_010-1001_0000000_0000000,"{'A': [], 'B': [(1, 7)], 'C': [(2, 3), (3, 2), (3, 4), (4, 3), (3, 5), (5, 3), (5, 6), (6, 5)], 'R': []}","{1: 0, 2: 1, 3: 0, 4: -1, 5: 0, 6: 0, 7: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0}",1
26541,[O:3].[n:1]:[c:4]:[n:2]>>[N:1].[N:2].C-C-[O:3].O=[C:4]_12-11_0000_0000,"{'A': [3], 'B': [(1, 4), (2, 4)], 'C': [], 'R': []}","{3: -1, 1: 1, 4: 1, 2: 2}","{3: 0, 1: 0, 4: 0, 2: 0}","{3: 0, 1: 0, 4: 0, 2: 0}",1
26542,[N:1]>>C-O-[C@H]1-C-N(-C-c2:c:c:c:c:c:2)-C-C-[C@@H]-1-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26543,[O:1]>>O=C(-[O:1])-C-C-c1:c:[nH]:c2:c:c:c:c:c:1:2_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26544,[N:5].[n:3].[N:4].[O:1]-[c:2]>>[O:1].F-[c:2].C-C(-C)(-C)-[n:3].F-C(-F)(-F)-C(=O)-[N:4].C-O-c1:c:c:c(-C-[N:5]):c(-O-C):c:1_10-1-1-1_00000_00000,"{'A': [3, 4, 5], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 4: -1, 1: 1, 2: 0, 5: -1}","{3: 0, 4: 0, 1: 0, 2: 0, 5: 0}","{3: 0, 4: 0, 1: 0, 2: 0, 5: 0}",1
26545,[n:1]-[C:2]>>[n:1].O=[N+](-[O-])-c1:c:c:c(-O-[C:2]):c(-[N+](=O)-[O-]):c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26546,[N:7]-[c:6]1:[c:5]:[n:4]:[c:3]:[c:2]:[n:1]:1>>[N:1]-[C:2]=[C:3]-[N:4]=[C:5]-[C:6]#[N:7]_200000-2_0000000_0000000,"{'A': [], 'B': [(1, 6)], 'C': [(3, 2), (2, 3), (3, 4), (4, 3), (4, 5), (5, 4)], 'R': []}","{3: 0, 2: 0, 1: 2, 6: 0, 7: -2, 5: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 6: 0, 7: 0, 5: 0, 4: 0}","{3: 0, 2: 0, 1: 0, 6: 0, 7: 0, 5: 0, 4: 0}",1
26547,[N:4].[C:2]-[N:1]-[C:3]>>[N:1].Br-[C:2].Br-[C:3].C-O-c1:c:c:c(-C-[N:4]):c:c:1_200-1_0000_0000,"{'A': [4], 'B': [(1, 2), (1, 3)], 'C': [], 'R': []}","{4: -1, 1: 2, 2: 0, 3: 0}","{4: 0, 1: 0, 2: 0, 3: 0}","{4: 0, 1: 0, 2: 0, 3: 0}",1
26548,[O:3].[n:2].[n:1]-[c:4]>>[n:1].[n:2].C-[O:3].F-[c:4]_01-10_0000_0000,"{'A': [3], 'B': [(1, 4)], 'C': [], 'R': [2, 2]}","{1: 0, 4: 0, 3: -1, 2: 1}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",1
26549,[C:2]1-[C:4]-[C:5]-[C:1]-[N:3]-1>>O=[C:1].[C:2]-[N:3].[C:4]=[C:5]_01100_00000_02000,"{'A': [], 'B': [(1, 5), (2, 4), (1, 3)], 'C': [], 'R': []}","{5: 0, 4: 0, 2: 1, 3: 1, 1: 0}","{5: 0, 4: 0, 2: 0, 3: 0, 1: 0}","{5: 0, 4: 0, 2: 2, 3: 0, 1: 0}",1
26550,[N:3].[N:1]-[C:2]>>C-C(-C)(-C)-O-C(=O)-[N:1].F-C(-F)(-F)-C(=O)-O-[C:2].C-O-c1:c:c:c(-C-[N:3]):c(-O-C):c:1_00-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1
26551,[N:1]-[C:4].[n:2]:[n:3]>>[N:1].[n:2]:[n:3].C-C(=O)-O-[C:4]_11-10_0000_0000,"{'A': [], 'B': [(1, 4)], 'C': [], 'R': [2, 2, 3, 3]}","{4: 0, 1: 1, 2: 1, 3: -1}","{4: 0, 1: 0, 2: 0, 3: 0}","{4: 0, 1: 0, 2: 0, 3: 0}",1
26552,[O:1].[C:2]>>C-C-[O:1].C-[Si](-C)(-C)-[C:2]_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26553,[n:1].[n:2].[N:3]>>[n:1].C-[Si](-C)(-C)-C-C-O-C-[n:2].C-C(-C)(-C)-[S@](=O)-[N:3]_-10-1_000_000,"{'A': [3, 2], 'B': [], 'C': [], 'R': [1, 1]}","{3: -1, 1: -1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26554,[O:3].[c:1]:[c:5]:[c:4]:[n:2]>>[c:1].N-[N:2].C-C-[O:3].O=[C:4]-[C:5]_10-102_00000_00000,"{'A': [3], 'B': [(2, 4), (1, 5)], 'C': [], 'R': []}","{3: -1, 4: 0, 5: 2, 1: 1, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}","{3: 0, 4: 0, 5: 0, 1: 0, 2: 0}",3
26555,[C:1]-[n:3]:[c:2]:[n:4]>>C-C(=O)-O-[C:1].C-[Si](-C)(-C)-[c:2](:[n:3]):[n:4]_0-101_0000_0000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: -1, 4: 1}","{1: 0, 3: 0, 2: 0, 4: 0}","{1: 0, 3: 0, 2: 0, 4: 0}",1
26556,[N:1]>>C-C1-C-N(-c2:n:c:c:c:c:2-C(-F)(-F)-F)-C-C-N-1-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26557,[S:4]-[O:3]-[C:2]=[C:1]>>[C:1]-[C:2]=[O:3].Cl-c1:c:c:n:c(-N(-[S:4])-S(=O)(=O)-C(-F)(-F)-F):c:1_1000_0000_0000,"{'A': [], 'B': [(3, 4)], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}","{1: 0, 2: 0, 3: 0, 4: 0}",2
26558,[O:2].[C:1]-[O:5]-[C:4]=[N:3]>>O-[C:1].[O:2]-C1-C-C-C-C-O-1.[N:3]-[C:4]=[O:5]_0-1100_00000_00000,"{'A': [2], 'B': [(1, 5)], 'C': [(3, 4), (4, 3)], 'R': []}","{1: 0, 5: 0, 4: 0, 2: -1, 3: 1}","{1: 0, 5: 0, 4: 0, 2: 0, 3: 0}","{1: 0, 5: 0, 4: 0, 2: 0, 3: 0}",1
26559,[N:1]>>C-C(-C)(-C)-c1:c:c:c(-C-[N:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26560,[N:2].[N:1]-[C:3]>>[N:1].C-C(-C)(-C)-O-C(=O)-[N:2].F-c1:c:c(-F):c:c(-C-[C@H](-N-[C:3])-[C@@H](-O)-[C@@H]2-C-C-C-N-2):c:1_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26561,[c:1]1:[c:6]:[c:5]:[n:4]:[c:3]:[c:2]:1>>O=[C:1]-[C:2]=[C:3]-[N:4]-[C:5]=[C:6]_000101_000000_000000,"{'A': [], 'B': [(1, 6)], 'C': [(5, 4), (4, 5), (4, 3), (3, 4), (3, 2), (2, 3)], 'R': []}","{6: 1, 5: 0, 4: 1, 3: 0, 2: 0, 1: 0}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",1
26562,[O:3].[O:1].[O:2]>>C-C(-C)(-[O:1])-[O:2].C-C-[Si](-[O:3])(-C-C)-C-C_-1-1-1_000_000,"{'A': [3, 2, 1], 'B': [], 'C': [], 'R': []}","{3: -1, 2: -1, 1: -1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
26563,[O:1].[Br:2]-[c:3].[Br:4]-[c:5].[Br:6]-[c:7]>>C-C-[O:1].[Cl:2]-[c:3].[Cl:4]-[c:5].[Cl:6]-[c:7]_-1000000_0000000_0000000,"{'A': [1], 'B': [], 'C': [(7, 6), (6, 7), (5, 4), (4, 5), (3, 2), (2, 3)], 'R': []}","{1: -1, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 7: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0}",1
26564,[n:1]>>O-c1:c:c:c(-C-[n:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26565,[O:2].[n:1]:[c:3]:[c:4]>>[N:1].C-[O:2].C-N(-C)/[C:3]=[C:4]_1-100_0000_0000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 4: 0, 2: -1, 1: 1}","{3: 0, 4: 0, 2: 0, 1: 0}","{3: 0, 4: 0, 2: 0, 1: 0}",1
26566,[c:3]1:[c:4]:[c:5]:[n:1]:[n:2]:1>>[N:1]-[N:2].C-O-[C:3]-[C:4]=[C:5]-N(-C)-C_11000_00000_00000,"{'A': [], 'B': [(1, 5), (2, 3)], 'C': [], 'R': []}","{5: 0, 4: 0, 3: 0, 2: 1, 1: 1}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}","{5: 0, 4: 0, 3: 0, 2: 0, 1: 0}",1
26567,[N:4].[C:1]1-[C:3]-[C:2]-1>>[C:1].Br-[C:2]-[C:3]-Cl.C-[Si](-C)(-C)-C-C-O-C-[N:4]_200-1_0000_0000,"{'A': [4], 'B': [(1, 3), (1, 2)], 'C': [], 'R': []}","{1: 2, 4: -1, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",1
26568,[C:2]-[C:3](=[O:4])-[O:1]>>[Na]-[O:1].Cl-[C:2].[C:3]#[O:4]_0000_00-11_0000,"{'A': [], 'B': [(2, 3), (1, 3)], 'C': [], 'R': []}","{2: 0, 3: 0, 1: 0, 4: 0}","{2: 0, 3: -1, 1: 0, 4: 1}","{2: 0, 3: 0, 1: 0, 4: 0}",1
26569,[O:2].[c:1]-[C:3]>>F-[c:1].C-C-[O:2].C-C-O-C(=O)-[C:3]_0-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 0}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
26570,[N:3].[c:1]:[n:2]>>O=[c:1]:[n:2].C-C(-C)(-C)-O-C(=O)-[N:3]_-11-1_000_000,"{'A': [1, 3], 'B': [], 'C': [], 'R': []}","{2: 1, 1: -1, 3: -1}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",2
26571,[C:1]=[O:2]>>O-C(-C-C-C-C-C-C-C-C(-O)=O)-[C:1]-[O:2]_01_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: 0, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26572,[N:1]>>F-C1(-F)-C-N-C-C-C-1-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26573,[O:3].[n:2].[n:1]-[C:4]>>[n:1].[n:2].O=C(-[O:3])-c1:c:c:c:c:c:1.C-c1:c:c:c(-S(=O)(=O)-O-[C:4]):c:c:1_01-10_0000_0002,"{'A': [3], 'B': [(1, 4)], 'C': [], 'R': [2, 2]}","{4: 0, 1: 0, 2: 1, 3: -1}","{4: 0, 1: 0, 2: 0, 3: 0}","{4: 2, 1: 0, 2: 0, 3: 0}",1
26574,[O:2].[O:1]>>C-C-C-C-[O:1].C-C(-C)(-C)-C(=O)-[O:2]_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26575,[n:3].[n:1]-[C:2]>>[n:1].O-[C:2].C-c1:c:c:c(-S(=O)(=O)-[n:3]):c:c:1_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 2: 0, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",1
26576,[N:1].[N:2].[N:3]>>C-C(-C)(-C)-O-C(=O)-[N:1].C-C(-C)(-C)-O-C(=O)-[N:2].C-O-c1:c:c:c(-C-[N:3]):c:c:1_-1-1-1_000_000,"{'A': [3, 1, 2], 'B': [], 'C': [], 'R': []}","{3: -1, 1: -1, 2: -1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26577,[c:1]1:[c:2]:[c:6]:[c:5]:[c:4]:[c:3]:1>>[C:1]#[C:2].O=C1-[C:3]=[C:4]-[C:5]=[C:6]-1_000000_000000_000000,"{'A': [], 'B': [(1, 3), (2, 6)], 'C': [(4, 5), (5, 4)], 'R': []}","{1: 0, 2: 0, 6: 0, 5: 0, 4: 0, 3: 0}","{1: 0, 2: 0, 6: 0, 5: 0, 4: 0, 3: 0}","{1: 0, 2: 0, 6: 0, 5: 0, 4: 0, 3: 0}",1
26578,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
26579,[S:1]-[C:2]>>[S:1].N#C-c1:c:c:c:c:c:1-S-[C:2]_10_00_02,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 2, 1: 0}",1
26580,[O:2].[N:1]-[C:3]>>[N:1].C-C-[Si](-[O:2])(-C-C)-C-C.C-c1:c:c:c(-S(=O)(=O)-O-[C:3]):c:c:1_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 1: 1, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
26581,[O:2].[O:3].[O:1]>>C-C(-C)(-C)-[O:1].[O:2]-C-c1:c:c:c:c:c:1.[O:3]-C-c1:c:c:c:c:c:1_-1-1-1_000_000,"{'A': [1, 3, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 3: -1, 2: -1}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: 0}",1
26582,[N:1]>>[N:1]-C1-C-N(-C(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2)-C-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26583,[N:3].[c:1]-[N:2]>>[c:1].[N:2]-[O]-[Na].C-C(-C)(-C)-O-C(=O)-[N:3]_10-1_000_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{3: -1, 1: 1, 2: 0}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26584,[C:1].[O:4].[O:2]=[C:3]>>C-[Si](-C)(-C)-[C:1].C1-C-[O:2]-[C:3]-O-1.[O:4]-C-c1:c:c:c:c:c:1_-100-1_0000_0000,"{'A': [1, 4, 3, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 4: -1, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}","{1: 0, 4: 0, 3: 0, 2: 0}",1
26585,[O:3].[o:1]:[c:2]>>[O:1].[c:2]:[o:3]_00-1_-100_000,"{'A': [3], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 0}","{2: 0, 3: 0, 1: -1}","{2: 0, 3: 0, 1: 0}",1
26586,[c:1]-[C:2]>>C-C1-O-B(-[c:1])-O-C-1(-C)-C.C-c1:c:c:c(-S(=O)(=O)-O-[C:2]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26587,[c:1]-[C:2]>>[Br]-[Mg]-[c:1].C-c1:c:c:c(-S(=O)(=O)-O-[C:2]):c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
26588,[N:6].[c:4]1:[n:3]:[c:1]:[c:2]:[s:5]:1>>O=[C:1]-[C:2].[N:3]-[C:4]=[S:5].C-C(-C)(-C)-O-C(=O)-[N:6]_02200-1_000000_000000,"{'A': [6], 'B': [(2, 5), (1, 3)], 'C': [], 'R': []}","{6: -1, 2: 2, 1: 0, 3: 2, 4: 0, 5: 0}","{6: 0, 2: 0, 1: 0, 3: 0, 4: 0, 5: 0}","{6: 0, 2: 0, 1: 0, 3: 0, 4: 0, 5: 0}",1
26589,[O:3].[c:1]:[c:2]>>O-[C:1]-[C:2].C-C(-C)(-C)-[Si](-C)(-C)-[O:3]_01-1_000_000,"{'A': [3, 1], 'B': [], 'C': [], 'R': []}","{3: -1, 1: 0, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26590,[N:1]>>C-C(-C)(-C)-O-C(=O)-N-C(-C-c1:c:c:c(-F):c:c:1)-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1
26591,[O:2].[C:1]>>Br-[C:1].[O:2]-C-c1:c:c:c:c:c:1_-1-1_00_00,"{'A': [1, 2], 'B': [], 'C': [], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
26592,[N:4].[c:1]-[C:2]-[O:3]>>Br-[c:1].[C:2]=[O:3].C-C-O-C(=O)-[N:4]_00-1-1_0000_0000,"{'A': [4], 'B': [(1, 2)], 'C': [], 'R': []}","{4: -1, 2: 0, 3: -1, 1: 0}","{4: 0, 2: 0, 3: 0, 1: 0}","{4: 0, 2: 0, 3: 0, 1: 0}",2
26593,[N:1]>>C-c1:n:c(-c2:n:n:n(-C):c:2-C-[N:1]):c:c:c:1-O-[C@@H]1-C-C-C-[C@H](-C(-O)=O)-C-1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},2
26594,[c:1]1:[c:2]:[c:5]:[c:4]:[n:3]:1>>O=[C:1]-[C:2].O/[N:3]=[C:4]/[C:5]=O_02-100_00000_00000,"{'A': [], 'B': [(1, 3), (2, 5)], 'C': [], 'R': []}","{4: 0, 3: -1, 1: 0, 2: 2, 5: 0}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0}","{4: 0, 3: 0, 1: 0, 2: 0, 5: 0}",1
26595,[n:2]:[c:3]:[o:1]>>[O:1].[N:2].C-C-O-[C:3]=O_120_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 2}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",1
26596,[O:1]-[C:2]>>[O:1].C-[C@H](-N-[C:2])-c1:c:c:c(-C(-O)=O):c:c:1_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
26597,[C:1]-[Cl:2]>>O-[C:1].Cl-C(=O)-C(=O)-[Cl:2]_00_00_20,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 2, 2: 0}",1
26598,[O:1].[O:2].[O:3].[O:4].[O:5].[O:6].[N:7]>>C-C(=O)-[O:1].C-C(=O)-[O:2].C-C(=O)-[O:3].C-C(=O)-[O:4].C-C(=O)-[O:5].C-C(=O)-[O:6].O=C(-[N:7])-O-C-c1:c:c:c:c:c:1_-1-1-1-1-1-1-1_0000000_0000000,"{'A': [1, 6, 5, 4, 3, 2, 7], 'B': [], 'C': [], 'R': []}","{1: -1, 6: -1, 5: -1, 4: -1, 3: -1, 2: -1, 7: -1}","{1: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 7: 0}","{1: 0, 6: 0, 5: 0, 4: 0, 3: 0, 2: 0, 7: 0}",1
26599,[O:2].[N:1]-[C:3]>>[N:1].C-[Si](-C)(-C)-[O:2].O=C1-O-C-[C@H](-c2:c:c:c:c:c:2)-N-1-[C:3]_1-10_000_000,"{'A': [2], 'B': [(1, 3)], 'C': [], 'R': []}","{2: -1, 1: 1, 3: 0}","{2: 0, 1: 0, 3: 0}","{2: 0, 1: 0, 3: 0}",1
26600,[O:1].[C:2]=[C:3]>>C-[O:1].O=[C:2].O-C(=O)-[C:3]_-101_000_000,"{'A': [1], 'B': [(2, 3)], 'C': [], 'R': []}","{1: -1, 2: 0, 3: 1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",1
26601,[N:1]-[S:2]>>[N:1].C-O-C(=O)-[C@H](-C-S-[S:2])-N-C(=O)-O-C(-C)(-C)-C_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
26602,[O:2].[N:3].[c:1]-[c:4]>>Cl-[c:1].C-C(-C)(-C)-[O:2].C-C(-C)(-C)-O-C(=O)-[N:3].C-C1(-C)-O-B(-[c:4])-O-C-1(-C)-C_0-1-10_0000_0000,"{'A': [2, 3], 'B': [(1, 4)], 'C': [], 'R': []}","{4: 0, 1: 0, 2: -1, 3: -1}","{4: 0, 1: 0, 2: 0, 3: 0}","{4: 0, 1: 0, 2: 0, 3: 0}",2
